title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,authors_9,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
Bevölkerungsschutz vorantreiben und Katastrophe kritisch aufarbeiten,"Sebastian Hartmann, zuständiger Berichterstatter:

Nach der großen Hochwasser-Katastrophe mit über 170 Toten, vielen Hundert Verletzten und Milliardenschäden müssen wir unser Katastrophenschutzsystem auf den Prüfstand stellen und modernisieren.

„Der Innenausschuss des Deutschen Bundestages hat in seiner Sondersitzung den Auftakt der parlamentarischen Aufarbeitung dieser Jahrhundertkatastrophe gemacht. Alle staatlichen Ebenen müssen sich nun selbstkritisch hinterfragen. In Abstimmung mit den Bundesländern müssen Veränderungen und feste Vereinbarungen stehen, die den Bevölkerungsschutz dauerhaft stärken. Das bedeutet auch, bisherige Zuständigkeiten und Kompetenzabgrenzungen auf ihre Tauglichkeit zu prüfen.

Die SPD-Bundestagsfraktion befürwortet jede Verbesserung. Auch eine Grundgesetzänderung, um dem Bund bei länderübergreifenden Krisen stärkere Koordinierungskompetenzen einzuräumen, erscheint sinnvoll. Unsere Vorschläge liegen seit langem vor.

Die Bundesländer sind beim Katastrophenschutz sehr unterschiedlich aufgestellt. In Stadtstaaten stellen sich beispielsweise die Kompetenzen und Vorbereitungen anders dar als in großen Flächenländern mit vielen Millionen Einwohnern. Größere Bundeskompetenzen wären für alle Schadenslagen sinnvoll, die vor Ländergrenzen nicht Halt machen, zum Beispiel Pandemien, Cyberattacken oder Desinformationskampagnen.

Alle staatlichen Ebenen müssen zudem mehr in die Vorbereitung, Planung und in Übungen investieren. Zentral ist die Frage, wie Menschen optimal gewarnt werden können. Ich befürworte einen breiten Mix aus verschiedenen Warnmitteln. Dazu gehört zum Beispiel der Wiederaufbau eines flächendeckenden Sirenennetzes in ganz Deutschland. Warnungen müssen unabhängig von digitalen Mitteln und Endgeräten erfolgen können. Untrennbar verbunden ist das entscheidende Thema Sensibilisierung. Möglichst jede und jeder sollte wissen, was in einer bestimmten Katastrophenlage zu tun ist. Das war bei diesem Hochwasser dramatischerweise nicht der Fall.""","Sebastian Hartmann, zuständiger Berichterstatter:",Sebastian Hartmann,", zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,27.07.2021,19. Wahlperiode,278,Inneres,Sebastian Hartmann,Innenpolitik,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/bevoelkerungsschutz-vorantreiben-katastrophe-kritisch-aufarbeiten
Tunesien darf nicht in autoritäre Verhaltensmuster zurückfallen,"Nils Schmid, außenpolitischer Sprecher:

Der tunesische Staatspräsident Kais Saied hat in einem verfassungsrechtlich äußerst bedenklichen Schritt die Exekutivgewalt im Land übernommen, indem er den Premierminister abgesetzt und das Parlament für 30 Tage suspendiert hat. Damit wächst die Gefahr, dass Tunesien als einzige Demokratie in der Arabischen Welt in autoritäre Verhaltensmuster zurückfällt.

„Die Berufung des Präsidenten auf den Notstandsartikel der Verfassung ist höchst problematisch und gefährdet die Errungenschaften der demokratischen Revolution Tunesiens. Die friedliche Durchführung der letzten Präsidentenwahlen wie auch der Parlamentswahlen haben gezeigt, dass die Demokratie in Tunesien funktioniert. Die Antwort auf die gegenwärtige innenpolitische Krise kann nicht sein, die verfassungsgemäße Ordnung auszuhebeln. Das würde das Land um viele Jahre zurückwerfen. Ein Staatspräsident darf sich nicht selbst zum obersten Verfassungsrichter ausrufen und sich auch nicht anmaßen, über die Rechtmäßigkeit des Parlaments und die Immunität einzelner Abgeordneter zu urteilen.

Staatspräsident Saied muss jetzt die Rechte des Parlaments wahren und sein Zusammentreten gemäß der Verfassung garantieren. Er muss unverzüglich einen breiten nationalen Dialog aller politischen und gesellschaftlichen Kräfte ohne Vorbedingungen ermöglichen.

Die verfassungsmäßige Ordnung muss schnellstmöglich wiederhergestellt werden. Die Stabilität Tunesiens ist entscheidend für den Frieden und die Sicherheit im südlichen Mittelmeerraum. Die EU würde stark in Mitleidenschaft gezogen werden, wenn sich die Lage in Tunesien nicht verbessert. Die internationale Gemeinschaft muss sich dafür einsetzen, dass dieser prodemokratische Übergang nicht in Gefahr gerät.

Tunesien als Ausgangsland des sogenannten Arabischen Frühlings 2010/11 ist es als einzigem arabischen Land gelungen, eine demokratische Regierungsform zu etablieren. Tunesien hat in den letzten Jahren einen beeindruckenden Weg zurückgelegt. Gleichwohl befindet sich das Land seit langem in einer schweren politischen, sozialen und wirtschaftlichen Krise, nicht zuletzt durch die COVID-19-Pandemie und den damit verbundenen Einbruch beim Tourismus, einer der wichtigsten Einnahmequellen des Landes.“","Nils Schmid, außenpolitischer Sprecher:",Nils Schmid,", außenpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,27.07.2021,19. Wahlperiode,277,Außenpolitik,Dr. Nils Schmid,Außenpolitik,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/tunesien-darf-nicht-autoritaere-verhaltensmuster-zurueckfallen
Förderaufruf für unsere Innenstädte," 

Bernhard Daldrup, kommunalpolitischer Sprecher:

Unsere Innenstädte und Zentren sind durch die Corona-Krise sehr gebeutelt. Die langen Schließungen haben insbesondere den regionalen Einzelhandel und die Kulturszene getroffen. Theaterbesuche, Konzerte, Lesungen – all dies konnte im vergangenen Jahr kaum stattfinden und all dies sind Veranstaltungen, die Menschen in die Innenstädte ziehen und diese beleben. Aus diesem Grund stellt Bundesfinanzminister Olaf Scholz 250 Millionen Euro für Pilotprojekte zur Verfügung, um die Ausarbeitung von Städteentwicklungsstrategien durch die Kommunen zur Stärkung der Innenstädte zu fördern.

„Unsere Innenstädte und Zentren befinden sich in einem dauerhaften Prozess des Wandels. Die durch die Pandemie beschleunigten Phänomene stellen jedoch einen Umbruch dar. Sie erfordern neue Konzepte und Maßnahmen durch ein breites Bündnis für die Innenstädte. Dank des starken Engagements von Bundesfinanzminister Olaf Scholz haben wir es geschafft, die ursprüngliche Fördersumme von 25 Millionen Euro auf nun 250 Millionen Euro zu verzehnfachen. Sie sollen zügig helfen, die Städte bei der Bewältigung ihrer Herausforderungen in den Innenstädten und Stadtteilzentren durch die Erarbeitung von nachhaltigen Konzepten zu unterstützen. Das sollte flexibel und einfach handhabbar sein, damit aus den Modellprojekten anwendbare Kopien für andere Innenstädte und Zentren werden.

Mit dem heutigen Projektaufruf ‘Zukunftsfähige Innenstädte und Zentren‘ sollen im Sinne einer integrierten und nachhaltigen Stadtentwicklung Modellprojekte finanziert werden, die innovative und experimentelle Vorhaben umsetzen. So sollen zukunftsfähige und praxisnahe Strategien für die lebendigen Innenstädte von morgen entwickelt werden. Die Erstellung der Konzepte soll durch entsprechende Expertenberatung und die Durchführung von Reallaboren unterlegt werden. Der Projektaufruf richtet sich an alle Städte und Gemeinden in Deutschland in den unterschiedlichen Größenkategorien. Die Kommunen sind nun aufgerufen, sich zeitnah um Mittel des Bundesprogramms zu bewerben, um ihre Innenstädte und Zentren auf einen zukunftsfähigen Weg zu fördern.“", ,Bernhard Daldrup,", kommunalpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,22.07.2021,19. Wahlperiode,275,"Bau, Wohnen, Stadtentwicklung und Kommunen",Bernhard Daldrup,"Bauen und Stadtentwicklung, Kultur, Kommunalpolitik",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/foerderaufruf-innenstaedte
Smart Cities in den Kommunen,"Bernhard Daldrup, bau- und wohnungspolitischer Sprecher;Elisabeth Kaiser, zuständige Berichterstatterin:

Die Modellprojekte „Smart Cities"" der dritten Staffel sind entschieden. Beworben hatten sich für die dritte Förderrunde deutschlandweit 94 Städte und Gemeinden mit Projektskizzen. Die SPD-Fraktion im Bundestag lobt, dass nachhaltige und gemeinwohlorientierte Smart-City-Ansätze erprobt werden.

„Seit 2019 unterstützt der Bund mit dem Programm ‚Modellprojekte Smart Cities‘ Zukunftsprojekte für die Entwicklung und Umsetzung digitaler Technologien in der Stadtentwicklung. Mit dem Beschluss vom 16. Juli 2021 fördern wir nun weitere 28 Modellprojekte. Als Teil des Konjunktur- und Zukunftspakets sind dafür im Bundeshaushalt 2021 Mittel in Höhe von 300 Millionen Euro vorgesehen.

Die Modellprojekte 2021 stehen unter dem Motto 'Gemeinsam aus der Krise: Raum für Zukunft'. Die geförderten Projekte sollen auch die Herausforderungen der Neugestaltung und Wiederbelebung städtischer und ländlicher Räume nach der Corona-Pandemie aufgreifen und aufzeigen, wie die Qualitäten der europäischen Stadt in das Zeitalter der Digitalisierung übertragen werden können. Die SPD-Bundestagsfraktion unterstützt die Modellprojekte von Beginn an, weil damit der Digitalisierung als Teil einer nachhaltigen und gemeinwohlorientierten Stadtentwicklung integriert und Gestaltungsperspektiven eröffnet werden. Die Modellprojekte Smart Cities entwickeln und erproben sektorenübergreifende digitale Strategien für das Stadtleben der Zukunft.

Die überaus große Resonanz bei den Bewerbungen zeigt, dass das Smart-Cities-Programm von hoher Bedeutung für unsere Städte und Gemeinden ist. Die Förderung der ausgewählten Modellstandorte wird deutliche konjunkturelle Impulse für die Kommunen und die Stadtentwicklungspolitik insgesamt auslösen. So gestalten wir unser Zusammenleben zukunftsfähig und nachhaltig. Unser Anspruch ist es, die Technik in den Dienst der Menschen zu stellen, Freiräume zu erhalten und die digitale Spaltung der Gesellschaft zu vermeiden.

Für Projekte, die diesmal nicht ausgewählt wurden, wird es eine neue Gelegenheit geben, sich für eine Förderung im nächsten Jahr zu bewerben.“","Bernhard Daldrup, bau- und wohnungspolitischer Sprecher;Elisabeth Kaiser, zuständige Berichterstatterin:",Bernhard Daldrup,", bau- und wohnungspolitischer Sprecher;Elisabeth Kaiser, zuständige Berichterstatterin:",NA,NA,NA,NA,NA,NA,NA,21.07.2021,19. Wahlperiode,274,"Bau, Wohnen, Stadtentwicklung und Kommunen","Bernhard Daldrup, Elisabeth Kaiser","Bauen und Stadtentwicklung, Mieten und Wohnen",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/smart-cities-kommunen
Der digitale Euro: eine stabile und sichere digitale Währung,"Jens Zimmermann, digitalpolitischer Sprecher:

Die Europäische Zentralbank stellt heute ihre Pläne zum digitalen Euro vor. Das ist vor allem deswegen wichtig, um Standards mit Blick auf Sicherheit und Stabilität der digitalen Währung zu setzen.

„Der digitale Zahlungsverkehr befindet sich in einem rasanten Umbruch. Neben nahezu unregulierten Kryptotoken wie Bitcoin drängen auch Konzerne in den riesigen Markt. Für die SPD-Fraktion im Bundestag ist klar: Währungen gehören nicht in die Hände privater Unternehmen. Deshalb war der Widerstand gegen das Facebook Projekt Libra, nun Diem genannt, richtig. Gleichzeitig muss sich der Euro auch im Wettbewerb mit Dollar und Yuan bewähren.

Die SPD-Fraktion im Bundestag begrüßt daher die Pläne der Europäischen Zentralbank zur Einführung eines digitalen Euro, denn so können wir Standards mit Blick auf Stabilität und Sicherheit einer vertrauenswürdigen digitalen Währung schaffen, aber auch mit Blick auf Daten- und Verbraucherschutz. Die Sicherheit und Stabilität des Euro, kombiniert mit den digitalen Möglichkeiten, wird das Innovationstempo bei Zahlungsdiensten in Europa und weltweit ankurbeln.

Für die SPD-Fraktion im Bundestag sind dabei Daten- und Verbraucherschutz von besonderer Bedeutung. Daher unterstützen wir die datensparsame Ausgestaltung des digitalen Euro, die - gesichert durch die Europäische Zentralbank - kostenlose Transaktionen in Echtzeit und mehr Effizienz ermöglichen wird. Auch muss der digitale Euro die Anonymität beim Bezahlen bei Alltagsgeschäften uneingeschränkt sicherstellen. Fest steht auch: Der digitale Euro wird neben Bargeld und Buchgeld bei Banken eine zusätzliche dritte Form des Geldes sein.“","Jens Zimmermann, digitalpolitischer Sprecher:",Jens Zimmermann,", digitalpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,14.07.2021,19. Wahlperiode,273,"Digitale Agenda, Finanzen",Dr. Jens Zimmermann,Finanzmarkt,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/digitale-euro-stabile-sichere-digitale-waehrung
Kabinett beschließt Eckpunkte zur Förderung deutscher Auslandsschulen ,"Ulla Schmidt, zuständige Berichterstatterin:

Das Eckpunktepapier „Deutsche Auslandsschulen - Bildungsbiographien für eine mit Deutschland vernetzte Welt“ wurde heute im Kabinett verabschiedet. Die SPD-Fraktion im Bundestag ist erleichtert, dass noch kurz vor Ende dieser Legislaturperiode die zentralen Reformschritte zum Auslandsschulwesen festgeschrieben werden konnten.

„Mithilfe dieser Eckpunkte sollen die nächste Bundesregierung und der neu gewählte Bundestag die Weiterentwicklung des Auslandsschulgesetzes vorantreiben.

Eine umfassende Evaluierung des Gesetzes im Jahr 2019 hat Verbesserungspotenziale aufgezeigt, die mithilfe der Eckpunkte künftig ausgeschöpft werden sollen. Die Auslandsschulen sollen einen stärkeren Fokus auf die frühkindliche Bildung und die frühe Sprachvermittlung setzen. Ein Digitalpaket soll verhindern, dass eine sozial verursachte, digitale Trennlinie an und zwischen den Auslandsschulen entsteht. Eine Anhebung der Schulleitungspauschale soll dazu beitragen, dass die in den letzten Jahren gesunkene Zahl der Bewerberinnen und Bewerbern auf diese wichtigen Schlüsselpositionen wieder ansteigt.

Die deutschen Auslandsschulen vermitteln vorbildhaft demokratische Werte. Deswegen ist eine Anhebung der Inklusions- und Sozialpauschale besonders wichtig, damit sie sich zukünftig noch stärker als bisher Schülerinnen und Schülern aus weniger wohlhabenden Umständen öffnen können sollen und eine moderne, inklusive Pädagogik verwirklichen.

Die Auslandsschulen sind ein bedeutsamer Pfeiler der deutschen Auswärtigen Bildungspolitik. Sie ermöglichen mit Deutschland verbundene Bildungsbiographien, die eine Basis für ein gegenseitiges Verständnis bilden. Viele der Absolventinnen und Absolventen setzen ihre Ausbildung an (Fach-) Hochschulen in Deutschland fort, arbeiten später in Deutschland oder arbeiten in ihrem Land in deutschen Unternehmen.“","Ulla Schmidt, zuständige Berichterstatterin:",Ulla Schmidt,", zuständige Berichterstatterin:",NA,NA,NA,NA,NA,NA,NA,14.07.2021,19. Wahlperiode,272,Außenpolitik,Ulla Schmidt (Aachen),"Bildung, Außenpolitik",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/kabinett-beschliesst-eckpunkte-foerderung-deutscher-auslandsschulen
Scholz setzt globale Mindestbesteuerung durch,"Lothar Binding, finanzpolitscher Sprecher:

Die G20-Finanzminister haben sich heute auf eine gerechtere Besteuerung multinationaler Konzerne geeinigt. Es ist vor allem ein großer Erfolg für Bundesfinanzminister Olaf Scholz, auf dessen Initiative die Vereinbarung einer globalen Mindestbesteuerung zurückgeht.

„Die G20-Finanzminister haben sich heute auf zwei Säulen zur Reform der internationalen Unternehmensbesteuerung geeinigt: eine Neuverteilung von Steuereinnahmen zugunsten der Marktstaaten und eine Mindestbesteuerung. Beide sind wichtige Anpassungen des internationalen Steuerrechts an die Herausforderungen der Digitalisierung.

Die in Säule eins vorgesehene Neuverteilung der Besteuerungsrechte ordnet künftig auch Staaten einen Teil der Gewinnsteuern zu, in deren Märkten große und profitable multinationale Unternehmen hohe Gewinne machen, ohne dort einen Sitz zu haben. Damit wird eine gerechtere Aufteilung der Steuereinnahmen zwischen den Staaten erreicht. Unternehmen der digitalen Wirtschaft wird es außerdem erschwert, ihre Steuerlast durch eine Verlegung ihres Sitzes in ein Niedrigsteuerland zu drücken.

Die in Säule zwei enthaltene Einführung einer Mindestbesteuerung richtet sich gegen die Gewinnverlagerung multinationaler Unternehmen in Niedrigsteuerländer. Aufgrund der Festschreibung eines effektiven Mindeststeuerniveaus können die Staaten mit einem höheren Steuersatz die Differenz zur Null- oder Niedrigsteuer mittels eines Steueraufschlags oder eines Betriebsausgabenabzugsverbots bei der ansässigen Konzerngesellschaft nacherheben. Nach Schätzungen der OECD soll dadurch das Steueraufkommen um 150 Milliarsden US-Dollar erhöht werden können, denn es ist niemandem gedient, wenn die Staaten immer ärmer und die Konzerne immer reicher werden. Erst in der jüngsten Krise war wieder weltweit zu sehen, dass nach dem Staat gerufen wird, wenn Unternehmen unter Druck geraten.“","Lothar Binding, finanzpolitscher Sprecher:",Lothar Binding,", finanzpolitscher Sprecher:",NA,NA,NA,NA,NA,NA,NA,10.07.2021,19. Wahlperiode,271,Finanzen,Lothar Binding (Heidelberg),"Wirtschaft, Steuern, Finanzmarkt",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/scholz-setzt-globale-mindestbesteuerung-0
Förderaufruf für unsere Innenstädte verzehnfacht,"Bernhard Daldrup, kommunalpolitischer Sprecher:

Die Auswirkungen der Corona-Pandemie stellen deutsche Städte vor enorme Herausforderungen. Um die Kommunen bei der Entwicklung von innovativen Konzepten und zur Stärkung der Resilienz und Krisenbewältigung zu unterstützen, plant die Bundesregierung die Einführung eines neuen Förderprogramms. Finanzminister Olaf Scholz hat sich in den letzten Wochen dafür eingesetzt, dass die bewilligten Mittel zur Errichtung von Modellprojekten von ursprünglich 25 Millionen Euro auf nun 250 Millionen Euro angehoben werden. Damit erreichen wir deutlich mehr Kommunen und ihre Zentren.

„Seit Jahren können wir beobachten, wie zahlreiche Innenstände aussterben. Viele Innenstädte wurden im letzten Jahr durch die Corona-Krise weiter gebeutelt. Die monatelangen Schließungen haben insbesondere den regionalen Einzelhandel getroffen und die Kulturszene ist im letzten Jahr fast komplett zum Erliegen gekommen. Theaterbesuche, Konzerte, Lesungen – all dies konnte im vergangenen Jahr kaum stattfinden und all dies sind Veranstaltungen, die Menschen in die Innenstädte ziehen und diese beleben. Aus diesem Grund haben wir im letzten Jahr für 25 Millionen Euro bereitgestellt, um die Ausarbeitung von Städteentwicklungsstrategien durch die Kommunen zu fördern. Nachdem Bundesfinanzminister Olaf Scholz sich intensiv um eine Anhebung der Mittel bemüht hat, können wir nun 250 Millionen Euro zur Verfügung stellen. Mit dem Förderaufruf sind nun die Kommunen gefragt, sich um die Durchführung von Reallaboren zu bewerben.

Außerdem wurde bereits im letzten Jahr das neue Programm ‚Lebendige Zentren‘ aufgelegt, das mit 300 Millionen Euro aus Städtebaufördermitteln des Bundes ausgestattet ist. Diese Finanzhilfen sollen für städtebauliche Gesamtmaßnahmen zur Stärkung, Revitalisierung und zum Erhalt von Stadt- und Ortskernen sowie historischen Altstädten eingesetzt werden. Damit wollen wir Innenstädte zu attraktiven und identitätsstiftenden Standorten für Wohnen, Arbeiten und Kultur machen und die Standortbedingungen für Gewerbe und Handel verbessern. Mit beiden Programmen leisten wir einen Beitrag für zukunftsfähige, lebendige Zentren.“","Bernhard Daldrup, kommunalpolitischer Sprecher:",Bernhard Daldrup,", kommunalpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,09.07.2021,19. Wahlperiode,270,"Bau, Wohnen, Stadtentwicklung und Kommunen",Bernhard Daldrup,"Bauen und Stadtentwicklung, Kommunalpolitik",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/foerderaufruf-innenstaedte-verzehnfacht
Herzlichen Glückwunsch zu zehn Jahren Bundesfreiwilligendienst!,"Am 1. Juli 2011 haben wir den Bundesfreiwilligendienst eingeführt. Seitdem haben mehr als 400.000 Menschen einen solchen Dienst geleistet und sich so in der Pflege oder anderen gesellschaftlich wichtigen Bereichen engagiert.

Sönke Rix, familienpolitischer Sprecher:

„Die SPD-Bundestagsfraktion setzt auf Freiwilligkeit und Engagement für die gute Sache. Deshalb haben wir uns für den Bundesfreiwilligendienst und gegen die Wehr- und Zivildienstdienstpflicht entschieden. Heute engagieren sich über 100.000 Menschen jährlich in einem der Freiwilligendienste. Wir schaffen damit mehr Spielräume für junge Menschen, stärken den Zusammenhalt in unserer Gesellschaft und stabilisieren unsere Demokratie.“

Svenja Stadler, zuständige Berichterstatterin:

„Das System der Pflichtdienste war ungerecht und nicht mehr zeitgemäß. Nicht die jungen Menschen sollten in der Pflicht stehen, sondern der Staat: nämlich dafür, jedem jungen Menschen nach der Schule einen Freiwilligendienstplatz anzubieten. Deshalb wollen wir Sozialdemokratinnen und Sozialdemokraten die Freiwilligendienste in Zukunft weiter ausbauen. Nach zehn Jahren ‘Erfolgsmodell Bundesfreiwilligendienst‘ wollen wir mehr gut ausgestattete und verlässliche Angebote. Besser geht immer!“",Am 1. Juli 2011 haben wir den Bundesfreiwilligendienst eingeführt. Seitdem haben mehr als 400.000 Menschen einen solchen Dienst geleistet und sich so in der Pflege oder anderen gesellschaftlich wichtigen Bereichen engagiert.,Sönke Rix,", familienpolitischer Sprecher:",Svenja Stadler, zuständige Berichterstatterin:,NA,NA,NA,NA,NA,30.06.2021,19. Wahlperiode,269,"Familie, Senioren, Frauen und Jugend","Sönke Rix, Svenja Stadler","Jugend, Demokratie",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/herzlichen-glueckwunsch-zehn-jahren-bundesfreiwilligendienst
Zukunftskommission Landwirtschaft unterstreicht dringenden Handlungsbedarf,"Wir brauchen einen Systemwechsel in der Landwirtschaft und Ernährung. Diese Forderung bestätigen auch die Ergebnisse der Zukunftskommission Landwirtschaft. Gerade für junge Menschen gewinnt die Nachhaltigkeit ihrer Ernährung an Bedeutung.

Rainer Spiering, agrarpolitischer Sprecher:

„Unsere Landwirtschaft steht angesichts von Globalisierung, Klimawandel und gesellschaftlichen Erwartungen vor großen Herausforderungen. Diese lassen sich mit den bisherigen Direktzahlungen, die nur an den Flächenbesitz gebunden waren, nicht bewältigen. Mit importierten Futtermitteln hiesige Tiere zu mästen, deren Ausscheidungen hier zu behalten und das Fleisch als Billigprodukt in den Export zu schicken, ist in der Gesellschaft nicht vermittelbar und für Landwirtinnen und Landwirte auch wirtschaftlich auf Dauer nicht tragbar.

Öffentliche Gelder sollten künftig für öffentliche Leistungen der Landwirtschaft im Umwelt- und Klimaschutz sowie zum Erhalt unserer Kulturlandschaft eingesetzt werden. Außerdem muss der Einkauf regional und nachhaltig erzeugter Lebensmittel für die öffentliche Gemeinschaftsverpflegung gezielt gefördert werden. So können landwirtschaftliche Betriebe ihre Produkte deutlich besser vor Ort und zu angemessenen Preisen verkaufen. Gesunde Ernährung in Kita und Schule bedeutet zudem Chancengleichheit für alle Kinder und Jugendlichen in unserem Land. Ich freue mich, dass die Zukunftskommission Landwirtschaft diesen Weg ausdrücklich empfiehlt.“

Ursula Schulte, ernährungspolitische Sprecherin:

„Für künftige Generationen benötigen wir einen ernährungspolitischen Wechsel hin zu einem fairen, gesunden und nachhaltigen und umweltfreundlichen Lebensmittelsystems. Auf dem Weg zu einer nachhaltigeren Ernährung müssen wir Verbraucherinnen und Verbraucher deutlich stärker unterstützen als bisher. Die Klimarelevanz der Ernährung ist insbesondere jungen Menschen ein wichtiges Anliegen, das zeigt der gerade veröffentlichte ‚Jugendreport zur Zukunft nachhaltiger Ernährung‘. Sie sind bereit zum Verzicht und die Wegbereiter für eine fleischarme Ernährung. Eine Halbierung des Fleischkonsums – wie von der Deutschen Gesellschaft für Ernährung gefordert – ist nicht nur aus gesundheitlichen Gründen angezeigt, sondern schützt auch das Klima. Zu Recht fordern junge Menschen eine nachhaltigkeitsorientierte Ernährungspolitik. Es muss leichter werden sich ausgewogen, gesund und nachhaltig zu ernähren.""",Wir brauchen einen Systemwechsel in der Landwirtschaft und Ernährung. Diese Forderung bestätigen auch die Ergebnisse der Zukunftskommission Landwirtschaft. Gerade für junge Menschen gewinnt die Nachhaltigkeit ihrer Ernährung an Bedeutung.,"Rainer Spiering,", agrarpolitischer Sprecher:,Ursula Schulte,", ernährungspolitische Sprecherin:",NA,NA,NA,NA,NA,30.06.2021,19. Wahlperiode,268,Ernährung und Landwirtschaft,"Ursula Schulte, Rainer Spiering","Ernährung, Landwirtschaft",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/zukunftskommission-landwirtschaft-unterstreicht-dringenden-handlungsbedarf
